Run,years,weights,Cost Error,Mean Capacity Mix Error,Mean Abs Capacity Mix Error,Abs Compound Error
"[2014,2015,2016]_[8:1:1]",2015,1,-0.054766768,-0.066537932,0.087158467,0.070962617
"[2014,2015,2016]_[8:1:1]",2016,1,-0.054766768,-0.066537932,0.087158467,0.070962617
"[2015,2016,2014]_[1:1:8]",2015,1,-0.054766768,-0.066537932,0.087158467,0.070962617
"[2015,2016,2014]_[1:1:8]",2016,1,-0.054766768,-0.066537932,0.087158467,0.070962617
"[2015,2016,2014]_[1:1:8]",2014,8,-0.054766768,-0.066537932,0.087158467,0.070962617
"[2010,2014]_[1:9]",2010,1,-0.054649289,-0.148632256,0.20836688175195514,0.1315080853028313
"[2010,2014]_[1:9]",2014,9,-0.054649289,-0.148632256,0.20836688175195514,0.1315080853028313
"[2014,2015,2016]_[1:1:8]",2014,1,-0.054207159,-0.065669319,0.087634825,0.070920992
"[2014,2015,2016]_[1:1:8]",2015,1,-0.054207159,-0.065669319,0.087634825,0.070920992
"[2014,2015,2016]_[1:1:8]",2016,8,-0.054207159,-0.065669319,0.087634825,0.070920992
"[2016,2014]_[1:9]",2016,1,-0.053846169,-0.096202679,0.11897974942122196,0.086412959
"[2016,2014]_[1:9]",2014,9,-0.053846169,-0.096202679,0.11897974942122196,0.086412959
"[2015,2016,2018]_[8:1:1]",2015,8,-0.052161965,-0.056212668,0.073581688,0.062871827
"[2015,2016,2018]_[8:1:1]",2016,1,-0.052161965,-0.056212668,0.073581688,0.062871827
"[2015,2016,2018]_[8:1:1]",2018,1,-0.052161965,-0.056212668,0.073581688,0.062871827
"[2010,2015]_[1:9]",2010,1,-0.052089635,-0.147795239,0.19254869,0.1223191622671737
"[2010,2015]_[1:9]",2015,9,-0.052089635,-0.147795239,0.19254869,0.1223191622671737
"[2014,2016]_[1:9]",2014,1,-0.052035584,-0.095901694,0.11896981491935535,0.085502699
"[2014,2016]_[1:9]",2016,9,-0.052035584,-0.095901694,0.11896981491935535,0.085502699
"[2015,2010]_[1:9]",2015,1,-0.051907362,-0.146381115,0.19095935388979424,0.12143335780277875
"[2015,2010]_[1:9]",2010,9,-0.051907362,-0.146381115,0.19095935388979424,0.12143335780277875
"[2015,2016,2018]_[1:1:8]",2015,1,-0.051309561,-0.056212668,0.073581688,0.062445625
