,nodes,techs,costs,Value,source_model
5,netherlands,offshore_wind,monetary,73484.83947544843,results_plan_cluster_2011_2014_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22465.776599020282,results_plan_cluster_2011_2014_weights_1_9.netcdf
7,netherlands,solar,monetary,33768.6693520817,results_plan_cluster_2011_2014_weights_1_9.netcdf
0,netherlands,battery,monetary,1488.3887195882353,results_plan_cluster_2011_2015_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31288.992896562864,results_plan_cluster_2011_2015_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18263.753719606266,results_plan_cluster_2011_2015_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,13467.178024997926,results_plan_cluster_2011_2015_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2011_2015_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,64412.3908970794,results_plan_cluster_2011_2015_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22527.885951366465,results_plan_cluster_2011_2015_weights_1_9.netcdf
7,netherlands,solar,monetary,32396.687271271418,results_plan_cluster_2011_2015_weights_1_9.netcdf
0,netherlands,battery,monetary,1557.8437024601026,results_plan_cluster_2011_2016_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,28481.243288007012,results_plan_cluster_2011_2016_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18164.082347744497,results_plan_cluster_2011_2016_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,24326.757726671633,results_plan_cluster_2011_2016_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15281.133743871442,results_plan_cluster_2011_2016_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,86364.48404251179,results_plan_cluster_2011_2016_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22477.865232683944,results_plan_cluster_2011_2016_weights_1_9.netcdf
7,netherlands,solar,monetary,29736.82894201817,results_plan_cluster_2011_2016_weights_1_9.netcdf
0,netherlands,battery,monetary,2226.4543734911053,results_plan_cluster_2011_2017_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,30915.96254305056,results_plan_cluster_2011_2017_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,17952.11815297422,results_plan_cluster_2011_2017_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,15527.341463727898,results_plan_cluster_2011_2017_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15256.198142464946,results_plan_cluster_2011_2017_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,73638.36421119727,results_plan_cluster_2011_2017_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22465.07616269786,results_plan_cluster_2011_2017_weights_1_9.netcdf
7,netherlands,solar,monetary,30868.18202665186,results_plan_cluster_2011_2017_weights_1_9.netcdf
0,netherlands,battery,monetary,1632.0307756645504,results_plan_cluster_2011_2018_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,28526.873021904576,results_plan_cluster_2011_2018_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18014.411278181356,results_plan_cluster_2011_2018_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,12250.074496843334,results_plan_cluster_2011_2018_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2011_2018_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,76219.06897146412,results_plan_cluster_2011_2018_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22457.959634316274,results_plan_cluster_2011_2018_weights_1_9.netcdf
7,netherlands,solar,monetary,28340.153423618576,results_plan_cluster_2011_2018_weights_1_9.netcdf
0,netherlands,battery,monetary,1317.182471487952,results_plan_cluster_2011_2019_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,27429.42012210471,results_plan_cluster_2011_2019_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18141.18997325249,results_plan_cluster_2011_2019_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,15654.141940997704,results_plan_cluster_2011_2019_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2011_2019_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,80784.96915953163,results_plan_cluster_2011_2019_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22500.384986159213,results_plan_cluster_2011_2019_weights_1_9.netcdf
7,netherlands,solar,monetary,25734.25902398001,results_plan_cluster_2011_2019_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.5837308506735,results_plan_cluster_2012_2010_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31738.094697960783,results_plan_cluster_2012_2010_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19101.73259662921,results_plan_cluster_2012_2010_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,25229.834121741955,results_plan_cluster_2012_2010_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15289.890573920102,results_plan_cluster_2012_2010_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,82397.89696623835,results_plan_cluster_2012_2010_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22408.650505885897,results_plan_cluster_2012_2010_weights_1_9.netcdf
7,netherlands,solar,monetary,30053.565434737342,results_plan_cluster_2012_2010_weights_1_9.netcdf
0,netherlands,battery,monetary,1024.8304590473754,results_plan_cluster_2012_2010_weights_9_1.netcdf
1,netherlands,electrolyser,monetary,31791.81973078682,results_plan_cluster_2012_2010_weights_9_1.netcdf
2,netherlands,h2_elec_conversion,monetary,19031.164408600886,results_plan_cluster_2012_2010_weights_9_1.netcdf
3,netherlands,h2_salt_cavern,monetary,25283.889933154736,results_plan_cluster_2012_2010_weights_9_1.netcdf
4,netherlands,nuclear,monetary,15304.99148355777,results_plan_cluster_2012_2010_weights_9_1.netcdf
5,netherlands,offshore_wind,monetary,82803.59802478571,results_plan_cluster_2012_2010_weights_9_1.netcdf
6,netherlands,onshore_wind,monetary,22518.561682168904,results_plan_cluster_2012_2010_weights_9_1.netcdf
7,netherlands,solar,monetary,30118.82500466844,results_plan_cluster_2012_2010_weights_9_1.netcdf
0,netherlands,battery,monetary,1342.896567305926,results_plan_cluster_2012_2011_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29003.316412274657,results_plan_cluster_2012_2011_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18195.903330739435,results_plan_cluster_2012_2011_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,15516.668634478196,results_plan_cluster_2012_2011_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15247.723230083255,results_plan_cluster_2012_2011_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,76063.29938154128,results_plan_cluster_2012_2011_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22503.31693186355,results_plan_cluster_2012_2011_weights_1_9.netcdf
7,netherlands,solar,monetary,29044.334698805847,results_plan_cluster_2012_2011_weights_1_9.netcdf
0,netherlands,battery,monetary,947.6461109658825,results_plan_cluster_2012_2013_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,30350.43948814398,results_plan_cluster_2012_2013_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18393.00590269451,results_plan_cluster_2012_2013_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,18415.941102587112,results_plan_cluster_2012_2013_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15276.119359254008,results_plan_cluster_2012_2013_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,77975.03799926488,results_plan_cluster_2012_2013_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22484.662293564266,results_plan_cluster_2012_2013_weights_1_9.netcdf
7,netherlands,solar,monetary,27559.458304305255,results_plan_cluster_2012_2013_weights_1_9.netcdf
0,netherlands,battery,monetary,1237.1311108153109,results_plan_cluster_2012_2014_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31571.85145166172,results_plan_cluster_2012_2014_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18245.633584121937,results_plan_cluster_2012_2014_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,14705.0860933099,results_plan_cluster_2012_2014_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15247.723230083255,results_plan_cluster_2012_2014_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,79065.87876197387,results_plan_cluster_2012_2014_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22482.338533049413,results_plan_cluster_2012_2014_weights_1_9.netcdf
7,netherlands,solar,monetary,30771.438593770774,results_plan_cluster_2012_2014_weights_1_9.netcdf
0,netherlands,battery,monetary,1492.1374183989585,results_plan_cluster_2012_2015_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29169.812989495465,results_plan_cluster_2012_2015_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18223.783956331208,results_plan_cluster_2012_2015_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,16476.15539758979,results_plan_cluster_2012_2015_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15247.723230083258,results_plan_cluster_2012_2015_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,72368.8436931898,results_plan_cluster_2012_2015_weights_1_9.netcdf
