,model_name,run_time,objective_function,mean_absolute_capacity_error,ldes_capacity_error
73,n_days_40_seed_73,2.5881078243255615,22455.094364759665,0.28397444552957196,0.3445625460508735
74,n_days_40_seed_74,2.3492231369018555,25470.746772581246,0.7052077860945176,-0.271223301341787
75,n_days_40_seed_75,2.4974710941314697,26681.9347068582,0.30592934216776346,-0.7538517306475313
76,n_days_40_seed_76,2.675316095352173,25080.857849117892,0.8931390424083547,-0.12672073065931286
77,n_days_40_seed_77,2.61820912361145,22242.253734652593,0.17122883923271276,-0.009896889558282265
78,n_days_40_seed_78,2.4675300121307373,24144.152950646414,0.1492907848325239,-0.23391664566037398
79,n_days_40_seed_79,2.3953261375427246,19838.45909645775,0.3705002917791216,0.6351455256535675
80,n_days_40_seed_80,2.3715178966522217,23152.067795066047,0.0668624036417798,-0.02005820892495823
81,n_days_40_seed_81,2.6383190155029297,24205.25944481128,0.22628837317156075,-0.3376170961376149
82,n_days_40_seed_82,2.6908340454101562,25243.143711309287,0.26788528954592705,0.0022521995219287254
83,n_days_40_seed_83,2.814023971557617,20858.169604173134,0.1370135563642693,0.2889682340244686
84,n_days_40_seed_84,2.5179319381713867,21991.104923241102,0.7935222282487219,0.33542365903932664
85,n_days_40_seed_85,2.5600600242614746,18800.10279073645,0.17682945554127963,0.5440303222062041
86,n_days_40_seed_86,2.4772939682006836,21085.670462865233,0.47505390533793723,0.013561470695261342
87,n_days_40_seed_87,2.6214160919189453,23861.64275915106,0.10583090257480111,-0.34726110937324206
88,n_days_40_seed_88,2.3676059246063232,21188.93890516053,0.6084605978891493,0.2725623761340219
89,n_days_40_seed_89,2.741895914077759,25715.681286928026,0.26603873502192077,-0.7614139477897612
90,n_days_40_seed_90,2.6197011470794678,25505.49090611671,0.5180809899316198,-0.024066315207195998
91,n_days_40_seed_91,3.1536989212036133,20110.572718754942,0.14031925991077165,0.38638904769740323
92,n_days_40_seed_92,2.9884939193725586,22909.262597864137,0.051482165872144235,-0.6977018011507302
93,n_days_40_seed_93,2.9086289405822754,25038.882851046637,0.2733830534632716,-0.02493806129476591
94,n_days_40_seed_94,2.4010231494903564,25815.915419281966,0.5391551187034452,-0.6982054079830495
95,n_days_40_seed_95,2.73305606842041,22845.373281013523,0.1686991738023459,0.1787178728179487
96,n_days_40_seed_96,2.658604145050049,19618.539317979343,0.13845473925941137,0.46943456780287296
97,n_days_40_seed_97,2.581329107284546,23831.488079382085,0.2712195032580112,-0.26212392827229447
98,n_days_40_seed_98,2.534053087234497,25187.137069699045,0.5967447991559254,-0.6545081911643337
99,n_days_40_seed_99,2.685149908065796,19545.844533367457,0.11768516038867534,-0.008162222269761269
