nodes,techs,carriers,timesteps,flow_in
netherlands,hydrogen_storage_system,power,2019-01-05 17:00:00,9200455.765773801
netherlands,hydrogen_storage_system,power,2019-01-05 18:00:00,8823147.621838812
netherlands,hydrogen_storage_system,power,2019-01-05 19:00:00,9125538.733852742
netherlands,hydrogen_storage_system,power,2019-01-05 20:00:00,9975883.28297802
netherlands,hydrogen_storage_system,power,2019-01-05 21:00:00,10398596.724152055
netherlands,hydrogen_storage_system,power,2019-01-05 22:00:00,10489106.991045352
netherlands,hydrogen_storage_system,power,2019-01-05 23:00:00,10305207.100240285
netherlands,hydrogen_storage_system,power,2019-01-06 00:00:00,9132798.430644076
netherlands,hydrogen_storage_system,power,2019-01-06 01:00:00,8052729.866180114
netherlands,hydrogen_storage_system,power,2019-01-06 02:00:00,6591379.82173937
netherlands,hydrogen_storage_system,power,2019-01-06 03:00:00,4971361.6293009445
netherlands,hydrogen_storage_system,power,2019-01-06 04:00:00,3772440.153386852
netherlands,hydrogen_storage_system,power,2019-01-06 05:00:00,2390388.7300388794
netherlands,hydrogen_storage_system,power,2019-01-06 06:00:00,539592.7575656279
netherlands,hydrogen_storage_system,power,2019-01-06 07:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 08:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 09:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 10:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 11:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 12:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 13:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 14:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 15:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 16:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 17:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 18:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 19:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 20:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 21:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 22:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-06 23:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 00:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 01:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 02:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 03:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 04:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 05:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 06:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 07:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 08:00:00,0.0
netherlands,hydrogen_storage_system,power,2019-01-07 09:00:00,0.0
