timesteps,nodes,techs,source_use_max
2019-01-04 17:00:00,netherlands,solar,0.0
2019-01-04 18:00:00,netherlands,offshore_wind,0.3956
2019-01-04 18:00:00,netherlands,onshore_wind,0.2694
2019-01-04 18:00:00,netherlands,solar,0.0
2019-01-04 19:00:00,netherlands,offshore_wind,0.3848
2019-01-04 19:00:00,netherlands,onshore_wind,0.276
2019-01-04 19:00:00,netherlands,solar,0.0
2019-01-04 20:00:00,netherlands,offshore_wind,0.3771
2019-01-04 20:00:00,netherlands,onshore_wind,0.2759
2019-01-04 20:00:00,netherlands,solar,0.0
2019-01-04 21:00:00,netherlands,offshore_wind,0.3985
2019-01-04 21:00:00,netherlands,onshore_wind,0.2832
2019-01-04 21:00:00,netherlands,solar,0.0
2019-01-04 22:00:00,netherlands,offshore_wind,0.4336
2019-01-04 22:00:00,netherlands,onshore_wind,0.3087
2019-01-04 22:00:00,netherlands,solar,0.0
2019-01-04 23:00:00,netherlands,offshore_wind,0.4815
2019-01-04 23:00:00,netherlands,onshore_wind,0.3441
2019-01-04 23:00:00,netherlands,solar,0.0
2019-01-05 00:00:00,netherlands,offshore_wind,0.5256
2019-01-05 00:00:00,netherlands,onshore_wind,0.3744
2019-01-05 00:00:00,netherlands,solar,0.0
2019-01-05 01:00:00,netherlands,offshore_wind,0.5727
2019-01-05 01:00:00,netherlands,onshore_wind,0.4064
2019-01-05 01:00:00,netherlands,solar,0.0
2019-01-05 02:00:00,netherlands,offshore_wind,0.6285
2019-01-05 02:00:00,netherlands,onshore_wind,0.4479
2019-01-05 02:00:00,netherlands,solar,0.0
2019-01-05 03:00:00,netherlands,offshore_wind,0.6684
2019-01-05 03:00:00,netherlands,onshore_wind,0.4993
2019-01-05 03:00:00,netherlands,solar,0.0
2019-01-05 04:00:00,netherlands,offshore_wind,0.6704
2019-01-05 04:00:00,netherlands,onshore_wind,0.5117
2019-01-05 04:00:00,netherlands,solar,0.0
2019-01-05 05:00:00,netherlands,offshore_wind,0.6831
2019-01-05 05:00:00,netherlands,onshore_wind,0.5361
2019-01-05 05:00:00,netherlands,solar,0.0
2019-01-05 06:00:00,netherlands,offshore_wind,0.6745
2019-01-05 06:00:00,netherlands,onshore_wind,0.5332
2019-01-05 06:00:00,netherlands,solar,0.0
2019-01-05 07:00:00,netherlands,offshore_wind,0.6614
2019-01-05 07:00:00,netherlands,onshore_wind,0.5304
2019-01-05 07:00:00,netherlands,solar,0.0
2019-01-05 08:00:00,netherlands,offshore_wind,0.649
2019-01-05 08:00:00,netherlands,onshore_wind,0.5334
2019-01-05 08:00:00,netherlands,solar,0.011
2019-01-05 09:00:00,netherlands,offshore_wind,0.6458
2019-01-05 09:00:00,netherlands,onshore_wind,0.5218
2019-01-05 09:00:00,netherlands,solar,0.036
2019-01-05 10:00:00,netherlands,offshore_wind,0.6355
2019-01-05 10:00:00,netherlands,onshore_wind,0.5058
2019-01-05 10:00:00,netherlands,solar,0.046
2019-01-05 11:00:00,netherlands,offshore_wind,0.6117
2019-01-05 11:00:00,netherlands,onshore_wind,0.4873
2019-01-05 11:00:00,netherlands,solar,0.049
2019-01-05 12:00:00,netherlands,offshore_wind,0.582
2019-01-05 12:00:00,netherlands,onshore_wind,0.4551
2019-01-05 12:00:00,netherlands,solar,0.044
2019-01-05 13:00:00,netherlands,offshore_wind,0.559
2019-01-05 13:00:00,netherlands,onshore_wind,0.4347
2019-01-05 13:00:00,netherlands,solar,0.029
2019-01-05 14:00:00,netherlands,offshore_wind,0.5392
2019-01-05 14:00:00,netherlands,onshore_wind,0.4218
2019-01-05 14:00:00,netherlands,solar,0.01
2019-01-05 15:00:00,netherlands,offshore_wind,0.5202
2019-01-05 15:00:00,netherlands,onshore_wind,0.4103
2019-01-05 15:00:00,netherlands,solar,0.0
2019-01-05 16:00:00,netherlands,offshore_wind,0.5093
2019-01-05 16:00:00,netherlands,onshore_wind,0.4038
2019-01-05 16:00:00,netherlands,solar,0.0
2019-01-05 17:00:00,netherlands,offshore_wind,0.4989
2019-01-05 17:00:00,netherlands,onshore_wind,0.39
