tvp,scenario_name,model_name,dates,date_range,id
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=1","2010,2019",10,2807439c8032eae9c75f
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, W_proxy=0.0","2010,2019",10,62105298477ef9b4fa1a
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=0.25","2010,2019",10,10ee5941b22edbbe5e24
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=0.5","2010,2019",10,0fbcc36836456968af6b
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=0.75","2010,2019",10,47ac97b19787cc8f4575
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=0.99","2010,2019",10,02d7b1ecf3296dd3ed10
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps30,"K-Medoid, reps=30, SocDelta, W_proxy=1","2010,2019",10,3b355f0db8bec5154557
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, W_proxy=0.0","2010,2019",10,e830085bc7801cbdce46
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=0.25","2010,2019",10,58039d46490dd22260a1
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=0.5","2010,2019",10,cdac0003402c14b4b6df
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=0.75","2010,2019",10,79070d25435ee52945cd
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=0.99","2010,2019",10,183dfe9bcba00ea143c7
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps90,"K-Medoid, reps=90, SocDelta, W_proxy=1","2010,2019",10,70cebaf2a3a63105354f
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, W_proxy=0.0","2010,2019",10,06b002cb0fd6ccf58c9d
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=0.25","2010,2019",10,5d474fd9fd84fd8aa41f
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=0.5","2010,2019",10,75af31537d0db0367181
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=0.75","2010,2019",10,1b4514d04e0d859d63cb
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=0.99","2010,2019",10,d25e90022bc90419266a
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2015-2014-2012-2009-2018-2019-2008-2013-2007-2017__as_2010-2019__01.csv,Sensitivity_W_reps180,"K-Medoid, reps=180, SocDelta, W_proxy=1","2010,2019",10,e3b3122a50cb9b16494d
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, W_proxy=0.0","2010,2019",10,90a293a731dd35df9a4a
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=0.25","2010,2019",10,c600ae404abc1ec2b3e1
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=0.5","2010,2019",10,ff4ff36c941876c89c24
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=0.75","2010,2019",10,982a7e121d049c479c91
SoC_proxy_TSA/data/timeseries/time_varying_parameters__shuffle_2009-2013-2012-2015-2017-2014-2016-2019-2011-2006__as_2010-2019__02.csv,Sensitivity_W_reps7,"K-Medoid, reps=7, SocDelta, W_proxy=0.99","2010,2019",10,84b476d2a6cb06b513ad
